  7%|▋         | 102/1500 [1:34:39<22:14:21, 57.27s/it]
  7%|▋         | 103/1500 [1:35:35<22:03:25, 56.84s/it]
  7%|▋         | 104/1500 [1:36:31<22:01:06, 56.78s/it]
  7%|▋         | 105/1500 [1:37:25<21:37:49, 55.82s/it]
  7%|▋         | 106/1500 [1:38:16<21:04:57, 54.45s/it]
  7%|▋         | 107/1500 [1:39:12<21:14:46, 54.91s/it]
  7%|▋         | 108/1500 [1:40:13<21:55:05, 56.69s/it]
  7%|▋         | 109/1500 [1:41:08<21:43:47, 56.24s/it]
  7%|▋         | 110/1500 [1:42:02<21:24:22, 55.44s/it]
                                                       

  7%|▋         | 110/1500 [1:42:02<21:24:22, 55.44s/it]
  7%|▋         | 111/1500 [1:43:00<21:39:38, 56.14s/it]
  7%|▋         | 112/1500 [1:44:03<22:27:48, 58.26s/it]
  8%|▊         | 113/1500 [1:45:04<22:47:40, 59.16s/it]
  8%|▊         | 114/1500 [1:45:54<21:41:27, 56.34s/it]
  8%|▊         | 115/1500 [1:46:46<21:10:23, 55.03s/it]
  8%|▊         | 116/1500 [1:47:43<21:21:26, 55.55s/it]
  8%|▊         | 117/1500 [1:48:38<21:18:36, 55.47s/it]
  8%|▊         | 118/1500 [1:49:30<20:55:05, 54.49s/it]
